,title,link,comments,pubDate,creator,category,guid,description,commentRss
0,Woman Found Dead at Tallink Silja Cruise Ferry – The Police Are Investigating If Crime is Involved,https://finlandtoday.fi/woman-found-dead-at-tallink-silja-cruise-ferry-the-police-are-investigating-if-crime-is-involved/,0,"Tue, 16 Oct 2018 06:56:48 +0000",Tony Öhberg,tallink silja,https://finlandtoday.fi/?p=25341,"<p>According to the police, the woman was Finnish and in her 30s.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/woman-found-dead-at-tallink-silja-cruise-ferry-the-police-are-investigating-if-crime-is-involved/"">Woman Found Dead at Tallink Silja Cruise Ferry &#8211; The Police Are Investigating If Crime is Involved</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",https://finlandtoday.fi/woman-found-dead-at-tallink-silja-cruise-ferry-the-police-are-investigating-if-crime-is-involved/feed/
1,Back to Rains and Chilly Temperatures – Finland Is Returning to Normal Autumn Weather,https://finlandtoday.fi/back-to-rains-and-chilly-temperatures-finland-is-returning-to-normal-autumn-weather/,0,"Mon, 15 Oct 2018 06:30:13 +0000",Editorial Team,warm weather,https://finlandtoday.fi/?p=25321,"<p>The temperatures are becoming cooler, day by day.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/back-to-rains-and-chilly-temperatures-finland-is-returning-to-normal-autumn-weather/"">Back to Rains and Chilly Temperatures &#8211; Finland Is Returning to Normal Autumn Weather</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",https://finlandtoday.fi/back-to-rains-and-chilly-temperatures-finland-is-returning-to-normal-autumn-weather/feed/
2,"More Public Toilets, Investments in Internationalization – Here’s Helsinki Mayor’s Budget Plan",https://finlandtoday.fi/more-public-toilets-investments-in-internationalization-heres-helsinki-mayors-budget-plan/,0,"Sun, 14 Oct 2018 08:33:03 +0000",Editorial Team,News,https://finlandtoday.fi/?p=25140,"<p>Preparation for the needs of a growing city lies at the heart of Mayor Jan Vapaavuori’s 2019 budget proposal.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/more-public-toilets-investments-in-internationalization-heres-helsinki-mayors-budget-plan/"">More Public Toilets, Investments in Internationalization &#8211; Here&#8217;s Helsinki Mayor&#8217;s Budget Plan</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",https://finlandtoday.fi/more-public-toilets-investments-in-internationalization-heres-helsinki-mayors-budget-plan/feed/
3,Juice Containers Could Become Refundable,https://finlandtoday.fi/juice-containers-could-become-refundable/,0,"Sat, 13 Oct 2018 06:08:55 +0000",Tony Öhberg,juice containers,https://finlandtoday.fi/?p=25138,"<p>Returning glass bottles and cans to the store and collecting a small deposit of it is second nature to Finns. Now, juice containers may bring money in the pocket as well.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/juice-containers-could-become-refundable/"">Juice Containers Could Become Refundable</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",https://finlandtoday.fi/juice-containers-could-become-refundable/feed/
4,President of Kazakhstan Nursultan Nazarbayev to Visit Finland Next Week,https://finlandtoday.fi/president-of-kazakhstan-nursultan-nazarbayev-to-visit-finland-in-october/,0,"Fri, 12 Oct 2018 07:43:58 +0000",Editorial Team,nursultan nazarbayev,https://finlandtoday.fi/?p=25098,"<p>President Niinistö and President Nazarbayev last met in June 2017, when President Niinistö visited the Astana World Expo in Kazakhstan.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/president-of-kazakhstan-nursultan-nazarbayev-to-visit-finland-in-october/"">President of Kazakhstan Nursultan Nazarbayev to Visit Finland Next Week</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",https://finlandtoday.fi/president-of-kazakhstan-nursultan-nazarbayev-to-visit-finland-in-october/feed/
5,MP of the Blue Reform Party: Society is Wasting Money By Deporting Active Immigrants With Guts,https://finlandtoday.fi/mp-of-the-blue-reform-party-society-is-wasting-money-by-deporting-active-immigrants-with-guts/,1,"Fri, 12 Oct 2018 05:54:29 +0000",Editorial Team,visa,https://finlandtoday.fi/?p=25152,"<p>According to Tiina Elovaara, society is wasting money by deporting motivated and active people after a long asylum-seeking process without taking into account their commitment and achievements.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/mp-of-the-blue-reform-party-society-is-wasting-money-by-deporting-active-immigrants-with-guts/"">MP of the Blue Reform Party: Society is Wasting Money By Deporting Active Immigrants With Guts</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",https://finlandtoday.fi/mp-of-the-blue-reform-party-society-is-wasting-money-by-deporting-active-immigrants-with-guts/feed/
6,President Sauli Niinistö Was Caught Jogging With His Dog: “Don’t Do it! We Don’t Piss There”,https://finlandtoday.fi/president-sauli-niinisto-was-caught-jogging-with-his-dog-dont-do-it-we-dont-piss-there/,0,"Thu, 11 Oct 2018 04:14:41 +0000",Tony Öhberg,president sauli niinistö,https://finlandtoday.fi/?p=25104,"<p>Cameramen were waiting at the gates of Kesäranta when President Niinistö arrived in a grey hoodie with his dog.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/president-sauli-niinisto-was-caught-jogging-with-his-dog-dont-do-it-we-dont-piss-there/"">President Sauli Niinistö Was Caught Jogging With His Dog: &#8220;Don&#8217;t Do it! We Don&#8217;t Piss There&#8221;</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",https://finlandtoday.fi/president-sauli-niinisto-was-caught-jogging-with-his-dog-dont-do-it-we-dont-piss-there/feed/
7,Second Summer is Here – Expect Temperatures of 18 Degrees on Sunday,https://finlandtoday.fi/second-summer-is-here-expect-temperatures-of-18-degrees-on-sunday/,0,"Wed, 10 Oct 2018 13:51:49 +0000",Tony Öhberg,warm weather,https://finlandtoday.fi/?p=25067,"<p>The warm weather is arriving from Sahara.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/second-summer-is-here-expect-temperatures-of-18-degrees-on-sunday/"">Second Summer is Here &#8211; Expect Temperatures of 18 Degrees on Sunday</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",https://finlandtoday.fi/second-summer-is-here-expect-temperatures-of-18-degrees-on-sunday/feed/
8,Government Reduces Size Limit of Enterprises Allowed to Lay Off Employees Easier,https://finlandtoday.fi/government-reduces-size-limit-of-enterprises-allowed-to-lay-off-employees-easier/,,"Tue, 02 Oct 2018 08:43:55 +0000",Editorial Team,strike,https://finlandtoday.fi/?p=24495,"<p>The grounds for dismissal would be amended only for enterprises employing fewer than 10 persons.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/government-reduces-size-limit-of-enterprises-allowed-to-lay-off-employees-easier/"">Government Reduces Size Limit of Enterprises Allowed to Lay Off Employees Easier</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",
9,Here’s What You Should Know About the Strike and Overtime Ban on Wednesday,https://finlandtoday.fi/heres-what-you-should-know-about-the-strike-and-overtime-ban-on-wednesday/,,"Tue, 02 Oct 2018 06:25:26 +0000",Editorial Team,strike,https://finlandtoday.fi/?p=24465,"<p>The industrial action is starting because the Finnish government has not withdrawn its draft law weakening protection against dismissal.</p>
<p>The post <a rel=""nofollow"" href=""https://finlandtoday.fi/heres-what-you-should-know-about-the-strike-and-overtime-ban-on-wednesday/"">Here&#8217;s What You Should Know About the Strike and Overtime Ban on Wednesday</a> appeared first on <a rel=""nofollow"" href=""https://finlandtoday.fi"">Finland Today</a>.</p>
",
